route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
4318_78159,7778008,W1,Clock Tower - Ballybeg,,3,,,
4318_78160,7778008,W3,Clock Tower - Meagher's Quay,,3,,,
4318_78161,7778008,W2,Clock Tower - WIT - Meagher's Quay,,3,,,
4318_78162,7778008,W4,Peter Street - Brownes Road,,3,,,
4318_78163,7778008,W5,Hospital - Oakwood,,3,,,
4398_84422,7778020,2,Dublin Airport - Gorey - Wexford,,3,,,
4398_84423,7778020,4,Dublin Airport - Waterford,,3,,,
4398_84424,7778020,13,Limerick - Adare - Listowel - Tralee,,3,,,
4398_84425,7778020,14,Limerick - Kerry Airport - Killarney,,3,,,
4398_84426,7778020,22,Dublin - Airport - Longford - Ballina,,3,,,
4398_84427,7778020,23,Dublin - Airport - Longford - Sligo,,3,,,
4398_84428,7778020,30,Dublin - Airport - Cavan - Donegal,,3,,,
4398_84429,7778020,32,Dublin Airport - Monaghan - Letterkenny,,3,,,
4398_84430,7778020,40,Tralee - Cork - Waterford - Rosslare,,3,,,
4398_84431,7778020,51,Cork - Limerick - Galway,,3,,,
4398_84432,7778020,52,Ballina - Castlebar - Galway,,3,,,
4398_84433,7778020,55,Limerick - Waterford,,3,,,
4398_84434,7778020,64,Galway Bus Station - Derry (Magee Campus Strand Road),,3,,,
4398_84435,7778020,65,Galway - Athlone - Monaghan,,3,,,
4398_84436,7778020,70,Galway - Mullingar - Dundalk,,3,,,
4398_84437,7778020,72,Limerick - Birr - Athlone,,3,,,
4398_84438,7778020,73,Waterford - Athlone - Longford,,3,,,
4398_84439,7778020,100,Drogheda - Dundalk - Newry,,3,,,
4398_84440,7778020,101,Dublin - Airport - Drogheda,,3,,,
4398_84441,7778020,103,Dublin - Ashbourne - Ratoath,,3,,,
4398_84442,7778020,B1,Rail Station - Millfield Centre,,3,,,
4398_84443,7778020,105,Blanchardstown - Ashbourne - Ashbourne - Drogheda,,3,,,
4398_84444,7778020,107,Dublin - Navan - Nobber - Kingscourt,,3,,,
4398_84445,7778020,108,Dublin - Kells - Bailieboro,,3,,,
4398_84446,7778020,109,Dublin - Navan - Kells - Cavan,,3,,,
4398_84447,7778020,111,Wilton Tce - Trim - Granard - Cavan,,3,,,
4398_84448,7778020,115,Dublin - Mullingar,,3,,,
4398_84449,7778020,131,Bray - Wicklow,,3,,,
4398_84450,7778020,132,Dublin - Carnew - Bunclody,,3,,,
4398_84451,7778020,133,Dublin - Wicklow,,3,,,
4398_84452,7778020,134,Dorey's Forge - Dunsany - Navan,,3,,,
4398_84453,7778020,135,Scurloughstown - Navan,,3,,,
